blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,room_type,units,postal,latitude,longitude,town,country,population,town_latitude,town_longitude
162,MEI LING ST,12,1969,QT,total_dwelling_units,100,140162,1.2921,103.8028,Queenstown,Singapore,98050,1.294167,103.786128
163,STIRLING RD,12,1969,QT,total_dwelling_units,100,140163,1.2918,103.8026,Queenstown,Singapore,98050,1.294167,103.786128
164,STIRLING RD,12,1969,QT,total_dwelling_units,104,140164,1.2917,103.8025,Queenstown,Singapore,98050,1.294167,103.786128
11,YORK HILL,12,1969,CT,total_dwelling_units,198,162011,1.2874,103.838,Central Area,Singapore,939890,1.300556,103.821667
12,YORK HILL,12,1969,CT,total_dwelling_units,198,163012,1.2868,103.8379,Central Area,Singapore,939890,1.300556,103.821667
13,YORK HILL,12,1969,CT,total_dwelling_units,182,162013,1.2864,103.8383,Central Area,Singapore,939890,1.300556,103.821667
157,MEI LING ST,16,1969,QT,total_dwelling_units,140,140157,1.2926,103.8038,Queenstown,Singapore,98050,1.294167,103.786128
158,MEI LING ST,12,1969,QT,total_dwelling_units,102,140158,1.2925,103.8028,Queenstown,Singapore,98050,1.294167,103.786128
31,LOR 5 TOA PAYOH,11,1969,TP,total_dwelling_units,345,310031,1.3332,103.854,Toa Payoh,Singapore,124940,1.33447,103.85106999999999
87,CIRCUIT RD,10,1969,GL,total_dwelling_units,78,370087,1.3231,103.8856,Geylang,Singapore,116960,1.3205559999999998,103.886944
